Entity_Type,Entity,Peak_Month,Peak_Average_Sales,Peak_Seasonal_Index
Store,1,12,310.4441073300505,1.2196524733856564
Store,2,12,475.27349734255046,1.2251900835391816
Store,3,12,1124.4854513174243,1.2378672928877879
Store,4,12,413.62676007777776,1.215570096253479
Store,5,12,379.4547371917172,1.3523929909186327
Store,6,12,543.8269471674242,1.2000450732983994
Store,7,12,556.1827036255052,1.1467842217611963
Store,8,12,686.4172967866161,1.2509091328179776
Store,9,12,589.173036304798,1.23976588119383
Store,10,12,221.15960960429294,1.2783859299850435
Store,11,12,633.7110915926767,1.2432797328645153
Store,12,12,233.84914874368687,1.2191762046822778
Store,13,12,228.6320090699495,1.2074011866768133
Store,14,12,255.12024767449495,1.2449634316178766
Store,15,12,235.10800626464646,1.1409583477027883
Store,16,12,226.99578308131314,1.1482009795765131
Store,17,12,361.97681796363634,1.1156236499984926
Store,18,12,292.4418214635859,1.2256668249281417
Store,19,12,297.84690449292924,1.2683961607423038
Store,20,4,285.8851551441818,1.2295693578619882
Store,21,8,227.9184611050796,1.368470275250908
Store,22,12,98.63186085858585,1.3400732088489293
Store,23,12,259.0771175706313,1.2356847638357624
Store,24,12,608.6536671217171,1.4231101474332164
Store,25,12,328.58203265555557,1.5988060695276538
Store,26,12,258.4733793004798,1.8521801249254535
Store,27,12,398.85409896717175,1.1551540175546453
Store,28,12,408.15801208257574,1.2338555189446176
Store,29,7,206.72234117321602,1.1812635129098
Store,30,12,173.74832754368686,1.3079715128545972
Store,31,12,461.35955114166666,1.4446868136867608
Store,32,12,132.88376892853535,1.240737553829888
Store,33,12,342.2419976888889,1.3414021624665267
Store,34,12,406.2349219232323,1.3209079768543213
Store,35,12,188.72666868560606,1.3662050811437276
Store,36,12,360.9302830989899,1.3090362466604002
Store,37,12,441.75224601426766,1.2292576104942396
Store,38,12,448.7542375330303,1.3222784446432305
Store,39,12,433.66863109219696,1.1899863744206178
Store,40,12,401.43157524671716,1.2126902419561822
Store,41,12,370.62619480772725,1.3739166916617054
Store,42,12,204.6195699371212,1.271117123372455
Store,43,12,369.08922074747477,1.2513062050101276
Store,44,12,1391.9521881805556,1.2458788106851184
Store,45,12,1256.0689070166668,1.2808221945543496
Store,46,12,998.7743594840908,1.324799656447638
Store,47,12,1161.6681611517677,1.2670925291579993
Store,48,12,876.3948729684344,1.355379158712698
Store,49,12,1041.9481048982323,1.3335562494786308
Store,50,12,702.2045858993182,1.3619127197348286
Store,51,12,764.2013145808081,1.2903759766133154
Store,52,7,140.70165432701856,2.900066801372612
Store,53,12,269.3377278545202,1.3344697734171882
Store,54,12,235.1058727290404,1.1815802402756699
Product_Family,AUTOMOTIVE,12,6.825462962962963,1.11870167368994
Product_Family,BABY CARE,9,0.15540123456790123,1.4059861373660996
Product_Family,BEAUTY,12,4.397067901234568,1.1833680090048229
Product_Family,BEVERAGES,12,2876.911728395062,1.2058512813297317
Product_Family,BOOKS,10,0.2662783751493429,3.761151028670495
Product_Family,BREAD/BAKERY,9,483.86552979876546,1.0443075106276913
Product_Family,CELEBRATION,12,12.27746913580247,1.4667599432633058
Product_Family,CLEANING,12,1239.5416666666667,1.155839531612426
Product_Family,DAIRY,12,833.903549382716,1.1759117255455092
Product_Family,DELI,12,296.289148166358,1.117502680130425
Product_Family,EGGS,12,179.44444444444446,1.0468084516742562
Product_Family,FROZEN FOODS,12,634.1430430635803,4.097405984165152
Product_Family,GROCERY I,12,4896.083707870371,1.2962986165200079
Product_Family,GROCERY II,12,35.12700617283951,1.6274521801789685
Product_Family,HARDWARE,12,1.3388888888888888,1.1767004928964917
Product_Family,HOME AND KITCHEN I,12,34.36527777777778,1.6787837813881454
Product_Family,HOME AND KITCHEN II,10,22.300029868578257,1.3335408182768336
Product_Family,HOME APPLIANCES,3,0.6140979689366786,1.342362272619067
Product_Family,HOME CARE,7,231.01696535244923,1.3111211638462377
Product_Family,LADIESWEAR,9,9.579475308641975,1.3377979367046553
Product_Family,LAWN AND GARDEN,5,7.631302270011948,1.2644077953688064
Product_Family,LINGERIE,9,7.981327160493827,1.1112760814600005
Product_Family,"LIQUOR,WINE,BEER",12,165.9202160493827,1.9476987141091706
Product_Family,MAGAZINES,12,4.318518518518519,1.4743590417444128
Product_Family,MEATS,10,357.6371536757766,1.0461816306672305
Product_Family,PERSONAL CARE,12,315.0361111111111,1.1649343033649369
Product_Family,PET SUPPLIES,12,5.2330246913580245,1.334525198363733
Product_Family,PLAYERS AND ELECTRONICS,12,10.189351851851852,1.6469351662258624
Product_Family,POULTRY,12,422.49106488734566,1.2052842918465485
Product_Family,PREPARED FOODS,12,101.75227208317902,1.0514835110183538
Product_Family,PRODUCE,12,1802.966508765432,1.3361719878372893
Product_Family,SCHOOL AND OFFICE SUPPLIES,8,11.128563815614175,3.7576195960755787
Product_Family,SEAFOOD,3,24.503071753046594,1.105575113664146
