family,Month,Average_Sales,Product_Average_Sales,Seasonal_Index
AUTOMOTIVE,1,5.663560334528077,6.101236034133897,0.928264420986632
AUTOMOTIVE,2,6.317047543997899,6.101236034133897,1.035371768713196
AUTOMOTIVE,3,6.4702508960573475,6.101236034133897,1.0604819842830149
AUTOMOTIVE,4,6.142962962962963,6.101236034133897,1.0068390943401668
AUTOMOTIVE,5,5.9850657108721625,6.101236034133897,0.9809595428513486
AUTOMOTIVE,6,5.952592592592593,6.101236034133897,0.9756371593051465
AUTOMOTIVE,7,6.247311827956989,6.101236034133897,1.0239420001137243
AUTOMOTIVE,8,6.053956834532374,6.101236034133897,0.9922508817333053
AUTOMOTIVE,9,5.403549382716049,6.101236034133897,0.8856483100285616
AUTOMOTIVE,10,6.115143369175628,6.101236034133897,1.0022794291130395
AUTOMOTIVE,11,6.045216049382716,6.101236034133897,0.9908182564257845
AUTOMOTIVE,12,6.825462962962963,6.101236034133897,1.11870167368994
BABY CARE,1,0.0954599761051374,0.11052828362804609,0.8636701210921077
BABY CARE,2,0.11281849225111637,0.11052828362804609,1.0207205662468928
BABY CARE,3,0.11421744324970132,0.11052828362804609,1.0333775166008197
BABY CARE,4,0.08185185185185186,0.11052828362804609,0.7405511889364244
BABY CARE,5,0.08769414575866188,0.11052828362804609,0.7934090974738511
BABY CARE,6,0.11580246913580247,0.11052828362804609,1.0477179716777767
BABY CARE,7,0.14289127837514934,0.11052828362804609,1.2928028345759208
BABY CARE,8,0.1354916067146283,0.11052828362804609,1.2258546162771304
BABY CARE,9,0.15540123456790123,0.11052828362804609,1.4059861373660996
BABY CARE,10,0.08781362007168458,0.11052828362804609,0.7944900362987474
BABY CARE,11,0.07114197530864197,0.11052828362804609,0.6436540311080158
BABY CARE,12,0.12854938271604938,0.11052828362804609,1.1630451364706662
BEAUTY,1,3.5369175627240144,3.7157231459487994,0.9518786582849332
BEAUTY,2,3.4833201996322565,3.7157231459487994,0.9374541812756075
BEAUTY,3,3.2855436081242533,3.7157231459487994,0.8842272362800859
BEAUTY,4,3.3739506172839504,3.7157231459487994,0.9080199155748515
BEAUTY,5,3.5504181600955795,3.7157231459487994,0.9555120283831023
BEAUTY,6,3.592469135802469,3.7157231459487994,0.966829065216898
BEAUTY,7,3.9841099163679807,3.7157231459487994,1.0722300235720736
BEAUTY,8,4.045563549160671,3.7157231459487994,1.088768831868298
BEAUTY,9,3.583179012345679,3.7157231459487994,0.9643288457194042
BEAUTY,10,3.858721624850657,3.7157231459487994,1.0384846968638572
BEAUTY,11,4.144907407407407,3.7157231459487994,1.115504908358563
BEAUTY,12,4.397067901234568,3.7157231459487994,1.1833680090048229
BEVERAGES,1,2350.2321385902032,2385.7931512272366,0.9850946790509726
BEVERAGES,2,2024.4071447333858,2385.7931512272366,0.848525842943276
BEVERAGES,3,2350.4917562724013,2385.7931512272366,0.9852034972366835
BEVERAGES,4,2195.970864197531,2385.7931512272366,0.9204364020694491
BEVERAGES,5,2207.378375149343,2385.7931512272366,0.9252178354246183
BEVERAGES,6,2340.7535802469138,2385.7931512272366,0.9811217619779171
BEVERAGES,7,2580.794623655914,2385.7931512272366,1.081734442203579
BEVERAGES,8,2202.1410871302955,2385.7931512272366,0.9230226375650078
BEVERAGES,9,2552.062037037037,2385.7931512272366,1.0696912411389365
