store_nbr,Month,Average_Sales,Store_Average_Sales,Seasonal_Index
1,1,253.61083330391006,254.53488932653315,0.9963696292281659
1,2,222.34097717180313,254.53488932653315,0.8735186667733017
1,3,253.17274849912022,254.53488932653315,0.994648510343643
1,4,238.66339112454546,254.53488932653315,0.937645097518923
1,5,232.01625248191593,254.53488932653315,0.911530254637395
1,6,258.4516419236364,254.53488932653315,1.015387881038495
1,7,269.6069570225611,254.53488932653315,1.0592141522755751
1,8,230.72377200213646,254.53488932653315,0.9064524419917526
1,9,265.722424252399,254.53488932653315,1.0439528543826218
1,10,269.2999409965787,254.53488932653315,1.0580079678236332
1,11,265.10489544166666,254.53488932653315,1.0415267476419456
1,12,310.4441073300505,254.53488932653315,1.2196524733856564
2,1,377.5919296428152,387.9181718232959,0.9733803597497246
2,2,340.2654438106598,387.9181718232959,0.8771577835896205
2,3,381.4353122066471,387.9181718232959,0.9832880744251346
2,4,379.6011102729293,387.9181718232959,0.9785597526631076
2,5,379.50083472746826,387.9181718232959,0.9783012560193702
2,6,380.01403008929293,387.9181718232959,0.9796242034838124
2,7,393.7168854676442,387.9181718232959,1.0149482908137382
2,8,342.87086638696314,387.9181718232959,0.8838742067054991
2,9,403.0005146674243,387.9181718232959,1.0388802173748093
2,10,401.5968069530792,387.9181718232959,1.0352616508411836
2,11,424.8883139226515,387.9181718232959,1.0953039707461711
2,12,475.27349734255046,387.9181718232959,1.2251900835391816
3,1,898.0005082070381,908.4054953048658,0.988545878298176
3,2,795.3171894171503,908.4054953048658,0.8755090028932923
3,3,900.7207274400781,908.4054953048658,0.9915403771724117
3,4,839.4877826177777,908.4054953048658,0.9241333159659509
3,5,831.1956262782014,908.4054953048658,0.9150050616979675
3,6,897.9656022169697,908.4054953048658,0.9885074527379512
3,7,944.1609859571847,908.4054953048658,1.0393607159326124
3,8,827.3691104166121,908.4054953048658,0.9107927183321833
3,9,967.3295683823231,908.4054953048658,1.064865385977968
3,10,955.0371985083088,908.4054953048658,1.0513335767390897
3,11,988.0694575972223,908.4054953048658,1.087696477733901
3,12,1124.4854513174243,908.4054953048658,1.2378672928877879
4,1,341.184439659042,340.27388576983014,1.0026759440770832
4,2,307.24651304943046,340.27388576983014,0.9029388557230036
4,3,344.1763556053764,340.27388576983014,1.011468613957011
4,4,314.87126255252525,340.27388576983014,0.9253465391273432
4,5,313.26088652160314,340.27388576983014,0.9206139513553524
4,6,333.938051860202,340.27388576983014,0.9813801935012025
4,7,344.91130344242424,340.27388576983014,1.0136284853658473
4,8,303.7786198042293,340.27388576983014,0.8927473794145722
4,9,362.388121184596,340.27388576983014,1.0649895167968444
4,10,360.87787831341643,340.27388576983014,1.060551201268273
4,11,366.95487174141414,340.27388576983014,1.0784103249981154
4,12,413.62676007777776,340.27388576983014,1.215570096253479
5,1,274.220976772434,280.58023055411354,0.9773353462247831
5,2,253.44607460238558,280.58023055411354,0.9032927020619338
5,3,278.0299600113001,280.58023055411354,0.9909107261841757
5,4,245.55102641945456,280.58023055411354,0.8751544110378684
5,5,264.6831845404692,280.58023055411354,0.943342244810871
5,6,276.1273755211313,280.58023055411354,0.9841298332951385
5,7,302.5406256334702,280.58023055411354,1.0782677918397436
5,8,269.07228036156533,280.58023055411354,0.9589851709444343
5,9,277.20341567017675,280.58023055411354,0.9879648866305799
5,10,273.71078613005864,280.58023055411354,0.9755170048492421
5,11,290.42252392376264,280.58023055411354,1.0350783565549566
5,12,379.4547371917172,280.58023055411354,1.3523929909186327
6,1,454.4457594400782,453.17210100507447,1.002810540260927
6,2,407.2558090814528,453.17210100507447,0.8986780258056806
6,3,457.1840216320625,453.17210100507447,1.0088529735570442
6,4,431.8306061680808,453.17210100507447,0.952906423873709
6,5,426.65666893274687,453.17210100507447,0.941489266410002
6,6,451.3340652658586,453.17210100507447,0.9959440668674454
6,7,460.5915472899316,453.17210100507447,1.0163722485748832
6,8,402.33997582799213,453.17210100507447,0.8878304179265591
6,9,472.23110379318183,453.17210100507447,1.0420568758443802
6,10,469.77757034946234,453.17210100507447,1.0366427441308923
6,11,485.9443103131313,453.17210100507447,1.0723173585385608
